iter	Passed	Remaining
0	88	26360
1	183	27404
2	274	27223
3	366	27154
4	452	26706
5	552	27071
6	672	28163
7	758	27687
8	847	27405
9	940	27288
10	1032	27131
11	1114	26742
12	1208	26679
13	1300	26568
14	1407	26746
15	1486	26392
16	1570	26137
17	1668	26144
18	1760	26040
19	1842	25792
20	1919	25506
21	2000	25282
22	2080	25059
23	2155	24782
24	2232	24553
25	2311	24354
26	2391	24177
27	2473	24028
28	2561	23936
29	2651	23863
30	2723	23633
31	2801	23459
32	2878	23291
33	2963	23186
34	3037	23000
35	3115	22847
36	3191	22684
37	3267	22531
38	3343	22372
39	3421	22241
40	3498	22097
41	3584	22021
42	3668	21924
43	3746	21798
44	3817	21632
45	3897	21521
46	3972	21384
47	4055	21288
48	4124	21125
49	4204	21020
50	4285	20921
51	4367	20830
52	4450	20742
53	4532	20646
54	4624	20602
55	4697	20469
56	4776	20364
57	4861	20283
58	4929	20134
59	5160	20642
60	5259	20605
61	5325	20443
62	5400	20316
63	5471	20176
64	5550	20068
65	5644	20010
66	5721	19895
67	5798	19783
68	5876	19673
69	5946	19539
70	6028	19445
71	6112	19356
72	6181	19221
73	6268	19144
74	6344	19034
75	6432	18958
76	6506	18842
77	6596	18774
78	6676	18676
79	6748	18557
80	6816	18429
81	6895	18330
82	6968	18217
83	7045	18116
84	7118	18006
85	7189	17890
86	7266	17789
87	7335	17671
88	7409	17566
89	7489	17475
90	7576	17401
91	7653	17302
92	7725	17195
93	7800	17094
94	7874	16993
95	7951	16897
96	8041	16830
97	8119	16735
98	8188	16625
99	8263	16526
100	8354	16461
101	8445	16393
102	8583	16416
103	8764	16517
104	9051	16809
105	9181	16804
106	9273	16727
107	9359	16639
108	9446	16552
109	9525	16453
110	9619	16379
111	9699	16281
112	9782	16188
113	9861	16089
114	9936	15985
115	10028	15907
116	10113	15818
117	10187	15712
118	10289	15649
119	10361	15541
120	10431	15431
121	10529	15362
122	10628	15294
123	10714	15208
124	10786	15101
125	10876	15020
126	10955	14924
127	11034	14827
128	11116	14735
129	11187	14630
130	11260	14526
131	11349	14445
132	11434	14358
133	11534	14288
134	11619	14201
135	11692	14099
136	11784	14021
137	11863	13926
138	11946	13837
139	12007	13722
140	12073	13614
141	12151	13520
142	12231	13429
143	12308	13334
144	12380	13233
145	12459	13142
146	12549	13061
147	12627	12969
148	12709	12880
149	12780	12780
150	12863	12693
151	12949	12608
152	13028	12517
153	13105	12424
154	13185	12334
155	13261	12241
156	13341	12151
157	13421	12061
158	13508	11979
159	13592	11893
160	13666	11799
161	13745	11709
162	13817	11613
163	13888	11516
164	13973	11433
165	14056	11346
166	14139	11260
167	14219	11172
168	14303	11087
169	14379	10995
170	14458	10907
171	14552	10830
172	14631	10741
173	14701	10645
174	14777	10555
175	14854	10465
176	14934	10378
177	15016	10292
178	15099	10206
179	15170	10113
180	15260	10033
181	15335	9943
182	15406	9850
183	15488	9764
184	15578	9683
185	15651	9592
186	15731	9505
187	15814	9421
188	15888	9331
189	15973	9247
190	16046	9157
191	16123	9069
192	16202	8982
193	16287	8899
194	16361	8810
195	16443	8724
196	16535	8645
197	16609	8556
198	16689	8470
199	16759	8379
200	16835	8292
201	16925	8211
202	17003	8124
203	17074	8035
204	17275	8005
205	17405	7942
206	17516	7869
207	17590	7780
208	17677	7696
209	17753	7608
210	17821	7516
211	17892	7427
212	17969	7339
213	18044	7251
214	18128	7166
215	18193	7075
216	18273	6989
217	18347	6901
218	18424	6814
219	18504	6728
220	18594	6647
221	18670	6559
222	18747	6473
223	18835	6390
224	18916	6305
225	18986	6216
226	19065	6131
227	19145	6045
228	19225	5960
229	19299	5873
230	19387	5791
231	19460	5704
232	19556	5623
233	19637	5538
234	19718	5454
235	19792	5367
236	19875	5283
237	19955	5198
238	20033	5113
239	20111	5027
240	20187	4942
241	20267	4857
242	20349	4773
243	20413	4685
244	20503	4602
245	20594	4520
246	20673	4436
247	20763	4353
248	20839	4268
249	20933	4186
250	21002	4100
251	21083	4015
252	21171	3933
253	21250	3848
254	21324	3763
255	21403	3678
256	21482	3594
257	21576	3512
258	21663	3429
259	21744	3345
260	21814	3259
261	21896	3175
262	21976	3091
263	22059	3008
264	22139	2924
265	22212	2839
266	22308	2757
267	22389	2673
268	22480	2590
269	22575	2508
270	22655	2424
271	22726	2339
272	22827	2257
273	22898	2172
274	22973	2088
275	23054	2004
276	23128	1920
277	23212	1836
278	23282	1752
279	23354	1668
280	23436	1584
281	23533	1502
282	23615	1418
283	23688	1334
284	23756	1250
285	23840	1166
286	23924	1083
287	23995	999
288	24075	916
289	24150	832
290	24228	749
291	24301	665
292	24381	582
293	24468	499
294	24556	416
295	24631	332
296	24708	249
297	24779	166
298	24854	83
299	24931	0
